age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,age_group,education,workclass,native-country,race
19,114671,12,0,0,13,Never-married,Not-in-family,Male,Protective-serv,17-24,Bachelors,Private,United-States,White
48,228190,10,0,0,40,Widowed,Other-relative,Female,Craft-repair,45-54,HS-grad,Private,United-States,White
21,118769,13,0,0,58,Married-civ-spouse,Husband,Male,Craft-repair,17-24,Bachelors,Private,United-States,White
49,201710,9,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,45-54,HS-grad,Private,United-States,White
32,117106,10,1,0,59,Married-civ-spouse,Husband,Male,Other-service,25-34,Assoc-voc,Private,United-States,White
48,258708,10,6,0,46,Married-civ-spouse,Husband,Male,Exec-managerial,45-54,9th,Local-gov,United-States,White
35,95430,10,0,1991,40,Married-civ-spouse,Husband,Male,Adm-clerical,35-44,Bachelors,Private,United-States,White
60,285871,10,0,0,37,Married-civ-spouse,Husband,Male,Prof-specialty,55-64,Some-college,Private,United-States,White
47,147517,10,0,0,51,Divorced,Not-in-family,Male,Other-service,45-54,7th-8th,State-gov,United-States,White
19,218859,13,6774,0,49,Never-married,Not-in-family,Female,Machine-op-inspct,17-24,HS-grad,Private,South,White
58,198111,13,3,0,40,Married-civ-spouse,Husband,Male,Craft-repair,55-64,Bachelors,Private,United-States,White
35,211221,9,0,0,66,Never-married,Unmarried,Female,Other-service,35-44,HS-grad,Private,United-States,White
18,462770,9,8,0,57,Never-married,Not-in-family,Female,Handlers-cleaners,17-24,Some-college,Private,India,Asian-Pac-Islander
27,164702,10,0,0,40,Never-married,Own-child,Female,Exec-managerial,25-34,Assoc-acdm,Private,United-States,White
20,132222,5,0,0,33,Never-married,Not-in-family,Male,Handlers-cleaners,17-24,HS-grad,Private,United-States,White
32,157794,10,5,0,77,Married-civ-spouse,Husband,Male,Exec-managerial,25-34,Prof-school,Private,United-States,White
39,243441,5,0,0,26,Never-married,Not-in-family,Male,Transport-moving,35-44,HS-grad,Self-emp-inc,United-States,White
30,173654,9,20060,0,70,Divorced,Unmarried,Female,Exec-managerial,25-34,Some-college,Local-gov,United-States,White
59,110613,10,0,0,37,Married-civ-spouse,Husband,Male,Exec-managerial,55-64,HS-grad,Self-emp-inc,United-States,White
31,206240,10,3,0,49,Married-civ-spouse,Husband,Male,Machine-op-inspct,25-34,Bachelors,Private,United-States,White
34,346291,4,4,0,36,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Masters,State-gov,United-States,White
33,216455,13,0,0,40,Divorced,Unmarried,Female,Exec-managerial,25-34,Some-college,Private,United-States,White
54,35354,15,0,1555,40,Never-married,Unmarried,Female,Machine-op-inspct,45-54,HS-grad,Private,United-States,White
26,201489,13,0,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,7th-8th,Private,United-States,White
46,175815,9,0,0,44,Never-married,Not-in-family,Female,Machine-op-inspct,45-54,HS-grad,Private,United-States,White
47,204478,13,4295,0,11,Married-civ-spouse,Husband,Male,Exec-managerial,45-54,Bachelors,Private,Cuba,White
63,51565,9,0,0,40,Never-married,Unmarried,Male,Handlers-cleaners,55-64,HS-grad,Self-emp-inc,United-States,White
25,165737,10,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,25-34,Prof-school,Private,United-States,White
52,361060,9,7857,0,32,Married-civ-spouse,Wife,Female,Craft-repair,45-54,Bachelors,Federal-gov,United-States,White
22,135161,14,0,0,40,Never-married,Own-child,Male,Tech-support,17-24,HS-grad,Local-gov,United-States,White
18,102130,9,0,0,40,Never-married,Other-relative,Female,Adm-clerical,17-24,Some-college,Private,United-States,White
22,154603,10,0,0,15,Never-married,Not-in-family,Male,Exec-managerial,17-24,Some-college,Private,United-States,White
23,151682,1,2,0,40,Never-married,Not-in-family,Female,Prof-specialty,17-24,Some-college,Federal-gov,United-States,White
46,123405,13,9,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,45-54,Bachelors,Self-emp-inc,United-States,White
54,188237,13,0,0,20,Married-civ-spouse,Husband,Male,Farming-fishing,45-54,Bachelors,Local-gov,United-States,White
37,242205,14,0,0,40,Divorced,Unmarried,Female,Prof-specialty,35-44,Bachelors,Private,United-States,White
24,293327,9,1,0,40,Never-married,Unmarried,Female,Farming-fishing,17-24,10th,State-gov,United-States,White
26,178583,9,0,0,25,Never-married,Not-in-family,Female,Prof-specialty,25-34,HS-grad,Private,United-States,White
20,190086,9,0,0,8,Never-married,Not-in-family,Male,Adm-clerical,17-24,Assoc-voc,Private,United-States,White
47,73529,10,0,0,61,Married-civ-spouse,Wife,Female,Exec-managerial,45-54,Prof-school,Private,United-States,White
42,265385,10,7,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,Prof-school,Self-emp-inc,United-States,White
54,183053,15,16,0,40,Never-married,Own-child,Male,Tech-support,45-54,Preschool,Private,United-States,White
43,179321,13,9,0,57,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,Masters,Private,Taiwan,White
30,127128,9,7,0,40,Never-married,Not-in-family,Male,Other-service,25-34,Some-college,Private,Greece,White
32,39997,9,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,Bachelors,Private,United-States,White
45,314893,13,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,45-54,Some-college,Private,United-States,White
17,92622,9,0,0,40,Never-married,Not-in-family,Male,Craft-repair,17-24,Some-college,Private,United-States,White
19,236365,10,5,0,40,Never-married,Own-child,Male,Adm-clerical,17-24,HS-grad,Private,United-States,White
56,96524,9,4,0,40,Divorced,Own-child,Male,Sales,55-64,9th,Private,Canada,White
68,194386,10,0,0,40,Married-civ-spouse,Wife,Female,Machine-op-inspct,65-90,Doctorate,Private,United-States,White
53,142430,11,4002,0,46,Married-spouse-absent,Not-in-family,Female,Adm-clerical,45-54,HS-grad,Private,United-States,White
39,49014,9,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Bachelors,Private,United-States,White
66,339156,10,10,0,60,Widowed,Not-in-family,Male,Prof-specialty,65-90,Some-college,Private,Mexico,White
20,290595,10,0,0,26,Never-married,Own-child,Male,Handlers-cleaners,17-24,HS-grad,Private,United-States,White
23,50232,13,13,0,63,Never-married,Not-in-family,Male,Craft-repair,17-24,HS-grad,Private,United-States,White
37,198411,6,12,0,50,Divorced,Not-in-family,Female,Sales,35-44,Bachelors,Self-emp-not-inc,United-States,White
56,318420,9,0,0,49,Married-civ-spouse,Husband,Male,Other-service,55-64,HS-grad,Private,United-States,White
42,291278,13,0,0,51,Widowed,Unmarried,Female,Prof-specialty,35-44,Prof-school,Private,United-States,White
33,204890,9,6,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,Bachelors,Private,United-States,White
38,139378,10,99998,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,HS-grad,Local-gov,United-States,White
28,131507,13,7,0,51,Married-civ-spouse,Husband,Male,Craft-repair,25-34,HS-grad,Private,United-States,White
49,159231,6,7,0,40,Married-civ-spouse,Husband,Male,Other-service,45-54,Masters,Private,United-States,White
31,250550,10,0,0,50,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,Bachelors,Local-gov,United-States,White
46,192484,2,0,0,35,Married-civ-spouse,Husband,Male,Prof-specialty,45-54,Bachelors,Private,United-States,White
48,235515,10,12,0,40,Married-civ-spouse,Husband,Male,Sales,45-54,Assoc-voc,State-gov,United-States,White
38,120161,13,0,0,37,Married-civ-spouse,Wife,Female,Prof-specialty,35-44,Bachelors,State-gov,United-States,White
70,404613,10,16,0,53,Married-civ-spouse,Husband,Male,Craft-repair,65-90,HS-grad,Self-emp-not-inc,United-States,White
35,67360,1,0,0,48,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,Bachelors,State-gov,United-States,White
37,285071,9,0,0,8,Married-civ-spouse,Husband,Male,Sales,35-44,Assoc-acdm,Private,United-States,White
37,143297,13,0,0,51,Never-married,Own-child,Female,Prof-specialty,35-44,Bachelors,Private,United-States,White
20,177092,9,7,0,40,Never-married,Own-child,Female,Prof-specialty,17-24,HS-grad,Private,United-States,White
24,302035,9,0,0,40,Never-married,Not-in-family,Female,Sales,17-24,Some-college,Private,United-States,White
22,422991,9,0,0,34,Married-civ-spouse,Husband,Male,Sales,17-24,HS-grad,Private,United-States,White
17,204216,9,0,0,40,Never-married,Own-child,Male,Sales,17-24,HS-grad,Private,United-States,White
60,116747,9,0,0,40,Married-civ-spouse,Other-relative,Female,Handlers-cleaners,55-64,HS-grad,Federal-gov,Mexico,White
31,212288,9,0,0,40,Separated,Unmarried,Female,Craft-repair,25-34,HS-grad,Private,United-States,White
39,124871,9,2,0,60,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Bachelors,State-gov,United-States,White
49,215238,9,0,0,40,Divorced,Unmarried,Female,Machine-op-inspct,45-54,Bachelors,Private,Mexico,White
34,177736,12,4,0,40,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Bachelors,Private,United-States,White
41,200775,10,17,0,28,Married-civ-spouse,Husband,Male,Handlers-cleaners,35-44,HS-grad,Private,United-States,White
36,178145,15,0,0,45,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,Assoc-acdm,Private,United-States,White
45,169703,9,9,0,40,Married-civ-spouse,Husband,Male,Craft-repair,45-54,HS-grad,Private,England,White
30,303573,10,0,0,61,Never-married,Not-in-family,Female,Adm-clerical,25-34,Bachelors,Private,United-States,White
53,247228,10,4673,0,49,Married-civ-spouse,Husband,Male,Sales,45-54,HS-grad,Private,United-States,White
31,160382,13,0,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,Some-college,Private,United-States,White
18,272597,9,4473,0,50,Never-married,Own-child,Male,Sales,17-24,HS-grad,Private,Haiti,Asian-Pac-Islander
19,264924,13,15,0,40,Never-married,Unmarried,Female,Other-service,17-24,Some-college,Private,United-States,White
46,185295,10,0,0,92,Married-civ-spouse,Husband,Male,Prof-specialty,45-54,HS-grad,Private,United-States,White
38,210989,10,16,0,35,Divorced,Not-in-family,Female,Adm-clerical,35-44,HS-grad,Private,England,White
29,98358,15,9,0,40,Never-married,Own-child,Male,Machine-op-inspct,25-34,HS-grad,Private,United-States,White
49,259102,13,0,0,40,Married-civ-spouse,Wife,Female,Craft-repair,45-54,HS-grad,Self-emp-not-inc,United-States,White
25,104792,10,2,0,48,Never-married,Own-child,Male,Machine-op-inspct,25-34,Assoc-voc,Private,United-States,White
59,102110,13,9,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,55-64,Prof-school,Private,Vietnam,White
34,461664,10,5,0,40,Never-married,Own-child,Male,Adm-clerical,25-34,Bachelors,Private,United-States,White
22,313690,12,0,0,40,Never-married,Not-in-family,Male,Adm-clerical,17-24,HS-grad,Private,United-States,White
30,163345,7,1,0,49,Married-civ-spouse,Husband,Male,Sales,25-34,Some-college,Private,United-States,White
35,150670,6,9,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,HS-grad,Private,United-States,White
21,87376,9,8,0,20,Never-married,Own-child,Male,Adm-clerical,17-24,Bachelors,Private,Haiti,Black
43,103531,9,9,0,51,Married-civ-spouse,Husband,Male,Protective-serv,35-44,HS-grad,Federal-gov,United-States,White
37,266592,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,Some-college,State-gov,United-States,White
22,168905,14,0,0,27,Never-married,Own-child,Male,Other-service,17-24,HS-grad,Private,United-States,White
79,195658,9,3,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,65-90,9th,Self-emp-inc,United-States,White
30,169355,9,0,0,28,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,HS-grad,Self-emp-inc,United-States,White
77,222164,8,0,0,44,Married-civ-spouse,Wife,Female,Adm-clerical,65-90,7th-8th,Private,United-States,White
44,166647,9,0,0,29,Married-civ-spouse,Husband,Male,Craft-repair,35-44,7th-8th,Federal-gov,Mexico,White
32,339030,9,5,0,28,Divorced,Own-child,Female,Machine-op-inspct,25-34,HS-grad,Private,United-States,White
26,303731,9,0,1867,49,Married-civ-spouse,Husband,Male,Craft-repair,25-34,HS-grad,Private,United-States,White
38,258140,10,10,0,40,Married-civ-spouse,Husband,Male,Craft-repair,35-44,11th,Private,Puerto-Rico,White
17,201286,9,12,0,40,Never-married,Not-in-family,Male,Adm-clerical,17-24,Some-college,Private,United-States,White
32,207937,9,0,0,36,Divorced,Not-in-family,Female,Other-service,25-34,Bachelors,Private,United-States,White
31,155283,15,9,0,54,Never-married,Own-child,Female,Sales,25-34,Bachelors,Federal-gov,United-States,White
49,207389,10,0,0,40,Married-civ-spouse,Wife,Female,Prof-specialty,45-54,Masters,Private,United-States,White
45,169570,13,11,0,40,Never-married,Own-child,Female,Other-service,45-54,Bachelors,Private,United-States,White
18,205624,9,13,0,40,Never-married,Not-in-family,Male,Priv-house-serv,17-24,Bachelors,Private,United-States,White
51,143930,9,4,0,50,Divorced,Not-in-family,Female,Adm-clerical,45-54,Bachelors,Local-gov,Italy,White
45,621109,9,0,0,57,Married-spouse-absent,Unmarried,Male,Exec-managerial,45-54,Masters,Private,United-States,White
25,400016,6,0,0,28,Separated,Unmarried,Female,Craft-repair,25-34,Bachelors,Self-emp-inc,United-States,White
29,259993,13,0,0,40,Never-married,Own-child,Female,Handlers-cleaners,25-34,HS-grad,Private,United-States,White
39,150298,7,1584,0,40,Never-married,Own-child,Male,Prof-specialty,35-44,Some-college,Private,United-States,White
30,125726,2,1,0,40,Never-married,Not-in-family,Male,Craft-repair,25-34,Bachelors,Self-emp-not-inc,United-States,White
36,187883,9,0,0,40,Never-married,Unmarried,Female,Exec-managerial,35-44,Some-college,Private,United-States,White
57,149054,9,1,1890,36,Married-civ-spouse,Husband,Male,Sales,55-64,7th-8th,Self-emp-not-inc,United-States,White
50,322623,9,0,0,40,Widowed,Not-in-family,Female,Transport-moving,45-54,HS-grad,State-gov,United-States,White
47,435522,10,0,0,40,Never-married,Not-in-family,Male,Exec-managerial,45-54,HS-grad,Self-emp-inc,United-States,White
56,152754,9,0,0,99,Married-civ-spouse,Husband,Male,Craft-repair,55-64,Bachelors,Local-gov,Mexico,White
34,213956,9,0,0,40,Married-civ-spouse,Husband,Male,Protective-serv,25-34,Bachelors,Private,United-States,White
17,396014,10,1,0,40,Never-married,Not-in-family,Female,Prof-specialty,17-24,Bachelors,Private,United-States,White
44,203701,13,2803,1897,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,HS-grad,Local-gov,United-States,White
29,207440,9,0,0,46,Separated,Unmarried,Male,Other-service,25-34,Assoc-voc,State-gov,United-States,White
56,153237,11,4,0,40,Married-civ-spouse,Husband,Male,Craft-repair,55-64,Some-college,Private,United-States,White
25,245453,9,0,0,51,Married-civ-spouse,Wife,Female,Craft-repair,25-34,Some-college,Private,United-States,White
17,173684,11,0,0,20,Never-married,Not-in-family,Male,Adm-clerical,17-24,1st-4th,Self-emp-not-inc,United-States,White
24,150661,9,0,0,64,Never-married,Own-child,Female,Other-service,17-24,HS-grad,Local-gov,United-States,White
48,277494,13,0,0,53,Divorced,Unmarried,Female,Craft-repair,45-54,HS-grad,Private,United-States,White
49,186993,11,30856,0,40,Divorced,Unmarried,Female,Prof-specialty,45-54,7th-8th,Self-emp-not-inc,Nicaragua,White
36,92393,15,7766,0,87,Married-spouse-absent,Other-relative,Female,Exec-managerial,35-44,HS-grad,Self-emp-not-inc,United-States,White
46,134529,13,5,0,30,Married-civ-spouse,Husband,Male,Other-service,45-54,HS-grad,Private,United-States,White
26,365807,14,4024,1974,49,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Some-college,Private,United-States,White
45,98697,9,0,0,10,Never-married,Not-in-family,Female,Transport-moving,45-54,Bachelors,Private,United-States,White
53,199121,4,0,1772,40,Married-civ-spouse,Wife,Female,Prof-specialty,45-54,Prof-school,Self-emp-inc,United-States,White
24,41904,5,3,0,40,Never-married,Not-in-family,Male,Exec-managerial,17-24,Bachelors,Private,United-States,White
32,170442,8,2,0,34,Separated,Not-in-family,Female,Exec-managerial,25-34,HS-grad,Federal-gov,United-States,White
52,198709,13,15171,0,40,Married-civ-spouse,Wife,Female,Craft-repair,45-54,HS-grad,Private,United-States,White
34,141160,9,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,25-34,11th,Local-gov,Mexico,White
38,272381,10,0,0,20,Divorced,Not-in-family,Female,Sales,35-44,Assoc-acdm,Private,United-States,White
59,106913,9,0,0,59,Divorced,Not-in-family,Male,Prof-specialty,55-64,Some-college,Private,United-States,White
33,604833,10,14360,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,Bachelors,Private,United-States,White
60,284517,12,24863,0,40,Divorced,Not-in-family,Male,Handlers-cleaners,55-64,11th,Private,United-States,White
28,396642,13,0,0,40,Married-civ-spouse,Husband,Male,Sales,25-34,Some-college,Private,United-States,White
24,142031,9,0,1677,35,Never-married,Other-relative,Female,Exec-managerial,17-24,Bachelors,Private,United-States,White
58,149521,9,5,0,40,Separated,Unmarried,Female,Adm-clerical,55-64,HS-grad,Federal-gov,United-States,White
39,106471,6,0,0,30,Married-civ-spouse,Husband,Male,Craft-repair,35-44,11th,Local-gov,United-States,White
39,357862,9,2,0,40,Divorced,Unmarried,Female,Other-service,35-44,HS-grad,Private,United-States,White
24,101267,10,7,0,40,Never-married,Not-in-family,Female,Farming-fishing,17-24,Assoc-acdm,Private,United-States,White
53,193293,10,0,0,20,Separated,Unmarried,Male,Prof-specialty,45-54,Some-college,Private,United-States,White
46,181485,9,3,0,28,Married-civ-spouse,Husband,Male,Craft-repair,45-54,HS-grad,State-gov,United-States,White
27,228963,13,0,0,40,Never-married,Own-child,Female,Prof-specialty,25-34,Some-college,Private,United-States,White
40,172182,9,4,0,37,Married-civ-spouse,Husband,Male,Tech-support,35-44,10th,Private,United-States,White
35,382262,10,3,0,40,Divorced,Not-in-family,Male,Adm-clerical,35-44,HS-grad,Private,United-States,White
37,256160,13,0,0,35,Married-civ-spouse,Husband,Male,Transport-moving,35-44,HS-grad,Federal-gov,United-States,White
36,101141,13,3,0,51,Married-civ-spouse,Husband,Male,Other-service,35-44,Bachelors,State-gov,United-States,White
47,144339,10,0,0,50,Married-civ-spouse,Husband,Male,Other-service,45-54,Some-college,Self-emp-inc,United-States,White
36,50682,12,0,0,24,Married-civ-spouse,Wife,Female,Machine-op-inspct,35-44,Some-college,Private,Portugal,White
28,196761,13,8,0,40,Divorced,Not-in-family,Male,Handlers-cleaners,25-34,HS-grad,Private,United-States,White
63,224158,10,7,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,55-64,Some-college,Local-gov,United-States,White
17,159703,14,2,0,50,Never-married,Other-relative,Female,Adm-clerical,17-24,Some-college,Private,United-States,White
42,106963,10,0,0,36,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,HS-grad,Federal-gov,United-States,White
51,124015,9,0,0,27,Married-civ-spouse,Husband,Male,Sales,45-54,HS-grad,Self-emp-not-inc,United-States,White
30,188408,13,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,Some-college,Private,United-States,White
30,119114,9,5,0,59,Divorced,Not-in-family,Male,Prof-specialty,25-34,HS-grad,Private,United-States,White
46,188445,9,14,0,34,Never-married,Own-child,Female,Adm-clerical,45-54,HS-grad,State-gov,United-States,White
28,239656,13,0,0,40,Divorced,Not-in-family,Male,Other-service,25-34,Bachelors,Private,United-States,White
59,172639,8,2,0,40,Widowed,Not-in-family,Female,Craft-repair,55-64,HS-grad,Private,United-States,White
56,248229,10,2,0,54,Married-civ-spouse,Husband,Male,Adm-clerical,55-64,Some-college,Local-gov,United-States,White
33,146048,9,4,0,30,Never-married,Not-in-family,Male,Craft-repair,25-34,HS-grad,Private,United-States,White
36,120627,10,0,0,47,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,Bachelors,Local-gov,United-States,White
47,117601,15,0,0,51,Never-married,Own-child,Male,Exec-managerial,45-54,Prof-school,Private,United-States,White
40,105799,15,14,0,94,Married-civ-spouse,Husband,Male,Craft-repair,35-44,HS-grad,Self-emp-inc,United-States,White
49,172672,15,10,0,40,Married-civ-spouse,Husband,Male,Craft-repair,45-54,HS-grad,Private,United-States,White
38,141870,14,0,0,40,Divorced,Unmarried,Female,Sales,35-44,HS-grad,Private,United-States,White
36,153667,9,6,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,Bachelors,Private,United-States,White
39,114078,9,0,0,40,Widowed,Unmarried,Male,Handlers-cleaners,35-44,11th,Private,United-States,White
37,397520,15,0,0,57,Married-civ-spouse,Wife,Female,Adm-clerical,35-44,Some-college,Private,United-States,White
42,300660,10,0,0,40,Divorced,Unmarried,Female,Machine-op-inspct,35-44,Bachelors,Federal-gov,United-States,White
35,318301,7,11,0,40,Divorced,Unmarried,Female,Handlers-cleaners,35-44,Bachelors,Local-gov,United-States,White
33,50921,3,0,0,35,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Masters,Private,United-States,White
24,350266,7,5,0,20,Never-married,Not-in-family,Male,Prof-specialty,17-24,Assoc-voc,Private,United-States,White
29,237275,7,2,0,31,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Masters,Private,United-States,White
43,463302,9,6,0,40,Married-civ-spouse,Wife,Female,Prof-specialty,35-44,Doctorate,Private,United-States,White
53,99984,9,4,0,47,Married-civ-spouse,Husband,Male,Prof-specialty,45-54,HS-grad,Private,United-States,White
21,132352,13,4374,0,40,Never-married,Own-child,Male,Adm-clerical,17-24,11th,Private,Puerto-Rico,White
62,160977,9,0,0,94,Divorced,Not-in-family,Male,Other-service,55-64,9th,Private,United-States,White
58,109997,14,8,0,40,Widowed,Not-in-family,Male,Exec-managerial,55-64,Doctorate,Self-emp-not-inc,United-States,White
30,178371,4,0,0,50,Married-civ-spouse,Husband,Male,Other-service,25-34,Some-college,Local-gov,United-States,White
29,262566,3,9,0,40,Never-married,Not-in-family,Male,Exec-managerial,25-34,HS-grad,Self-emp-inc,United-States,White
43,190426,10,0,0,50,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,Some-college,Private,United-States,White
29,174472,6,6,0,45,Never-married,Own-child,Male,Handlers-cleaners,25-34,Assoc-acdm,Private,United-States,White
24,299711,10,0,0,40,Never-married,Not-in-family,Male,Transport-moving,17-24,Bachelors,Private,United-States,White
33,275329,6,0,0,28,Never-married,Own-child,Male,Prof-specialty,25-34,Assoc-voc,Private,United-States,White
50,176776,9,5,0,29,Married-civ-spouse,Husband,Male,Adm-clerical,45-54,Bachelors,Private,United-States,White
24,44126,10,0,0,40,Never-married,Not-in-family,Female,Craft-repair,17-24,Some-college,State-gov,United-States,White
25,53420,15,2,1884,59,Never-married,Not-in-family,Male,Craft-repair,25-34,Assoc-acdm,Private,United-States,White
33,192479,10,7643,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,25-34,HS-grad,Self-emp-inc,Philippines,Asian-Pac-Islander
42,249744,8,4,0,36,Married-civ-spouse,Husband,Male,Sales,35-44,HS-grad,Self-emp-not-inc,United-States,White
27,315901,9,0,0,40,Never-married,Own-child,Male,Transport-moving,25-34,Prof-school,Private,United-States,White
38,301419,13,1,1898,62,Divorced,Unmarried,Female,Adm-clerical,35-44,Some-college,State-gov,United-States,White
18,103580,3,0,0,22,Never-married,Not-in-family,Male,Other-service,17-24,Some-college,Private,United-States,White
53,37878,10,3,0,40,Divorced,Unmarried,Female,Adm-clerical,45-54,Bachelors,Private,United-States,White
17,119994,14,0,1410,22,Never-married,Not-in-family,Male,Craft-repair,17-24,Assoc-acdm,Private,United-States,White
20,106011,13,0,0,40,Never-married,Own-child,Male,Handlers-cleaners,17-24,Masters,Private,China,Asian-Pac-Islander
36,324286,13,0,0,61,Married-civ-spouse,Husband,Male,Tech-support,35-44,Masters,Private,United-States,White
42,48977,7,7,0,34,Married-civ-spouse,Husband,Male,Tech-support,35-44,Bachelors,Self-emp-inc,United-States,White
48,364013,14,7677,0,40,Married-civ-spouse,Husband,Male,Other-service,45-54,HS-grad,State-gov,United-States,White
32,179480,9,0,0,18,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,Some-college,Private,United-States,White
20,278173,9,0,0,40,Never-married,Own-child,Male,Prof-specialty,17-24,Some-college,State-gov,United-States,White
31,242697,7,0,0,40,Divorced,Not-in-family,Male,Other-service,25-34,Assoc-voc,Private,Canada,White
19,144908,10,4,1493,46,Never-married,Not-in-family,Male,Prof-specialty,17-24,Some-college,Private,United-States,White
44,317986,9,4146,0,40,Divorced,Unmarried,Female,Sales,35-44,Bachelors,Private,United-States,White
66,198524,15,7,0,40,Divorced,Not-in-family,Female,Other-service,65-90,HS-grad,Self-emp-not-inc,United-States,White
33,128315,13,2,0,40,Never-married,Not-in-family,Male,Prof-specialty,25-34,HS-grad,Private,United-States,White
39,134912,10,1,0,45,Married-civ-spouse,Wife,Female,Craft-repair,35-44,Prof-school,Local-gov,United-States,White
42,61482,15,0,0,37,Married-civ-spouse,Husband,Male,Sales,35-44,Some-college,Private,United-States,White
43,185660,9,3599,0,40,Married-civ-spouse,Husband,Male,Sales,35-44,Bachelors,State-gov,United-States,White
49,358773,13,1,0,40,Married-civ-spouse,Other-relative,Male,Sales,45-54,HS-grad,Self-emp-not-inc,United-States,White
47,106519,10,1,0,68,Married-civ-spouse,Husband,Male,Craft-repair,45-54,HS-grad,Private,United-States,White
55,163609,13,9,0,80,Married-civ-spouse,Husband,Male,Craft-repair,55-64,Bachelors,Local-gov,United-States,White
27,236552,13,0,0,50,Married-civ-spouse,Husband,Male,Craft-repair,25-34,HS-grad,State-gov,United-States,White
41,212075,10,8,0,40,Married-civ-spouse,Wife,Female,Other-service,35-44,Some-college,Private,United-States,White
37,309941,4,0,1950,40,Married-civ-spouse,Husband,Male,Tech-support,35-44,Bachelors,Private,United-States,White
32,257223,9,0,0,34,Divorced,Unmarried,Female,Craft-repair,25-34,Bachelors,Private,United-States,White
38,200620,10,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,HS-grad,Self-emp-not-inc,United-States,White
21,55412,9,5,0,40,Never-married,Not-in-family,Female,Machine-op-inspct,17-24,Some-college,Private,Guatemala,White
43,153749,6,0,0,50,Divorced,Unmarried,Female,Prof-specialty,35-44,Some-college,Self-emp-not-inc,United-States,White
24,316704,12,1,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,17-24,Some-college,Private,United-States,White
65,180642,14,5,0,50,Married-civ-spouse,Husband,Male,Craft-repair,65-90,HS-grad,Private,Mexico,White
71,106823,13,5,0,29,Married-civ-spouse,Husband,Male,Exec-managerial,65-90,Doctorate,Private,United-States,White
31,205301,13,0,0,40,Never-married,Unmarried,Female,Exec-managerial,25-34,Some-college,Private,United-States,White
37,227732,14,5,0,40,Never-married,Not-in-family,Male,Exec-managerial,35-44,HS-grad,Private,United-States,White
50,255758,12,0,0,45,Married-civ-spouse,Husband,Male,Adm-clerical,45-54,Prof-school,Self-emp-not-inc,India,Asian-Pac-Islander
22,251675,12,0,0,40,Never-married,Not-in-family,Female,Adm-clerical,17-24,Some-college,Private,United-States,White
29,60956,10,1,0,38,Married-civ-spouse,Husband,Male,Exec-managerial,25-34,HS-grad,Private,United-States,White
53,72353,7,0,0,20,Married-civ-spouse,Husband,Male,Exec-managerial,45-54,Bachelors,Private,United-States,White
67,121820,15,0,0,61,Married-civ-spouse,Husband,Male,Prof-specialty,65-90,Some-college,Private,United-States,White
27,191702,7,0,0,40,Never-married,Own-child,Female,Exec-managerial,25-34,Bachelors,State-gov,United-States,White
31,196916,12,3,0,40,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Masters,Private,United-States,White
