age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,workclass,native-country,race
30,304570,4,0,0,34,Married-civ-spouse,Own-child,Female,Prof-specialty,Private,United-States,White
20,252117,9,0,0,40,Never-married,Not-in-family,Male,Adm-clerical,Private,United-States,White
34,192541,13,0,0,52,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
53,305501,9,0,0,12,Divorced,Husband,Male,Protective-serv,Private,United-States,Black
40,156714,9,6,0,12,Divorced,Husband,Male,Exec-managerial,Private,United-States,White
35,218966,13,0,0,46,Married-civ-spouse,Not-in-family,Male,Protective-serv,Private,United-States,White
73,195499,9,14890,0,40,Married-civ-spouse,Own-child,Female,Other-service,Self-emp-inc,United-States,White
23,54206,13,0,0,46,Married-civ-spouse,Husband,Male,Other-service,Private,United-States,White
25,227749,8,2,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
35,208319,13,4,0,36,Married-civ-spouse,Not-in-family,Male,Other-service,Private,United-States,White
36,525225,2,0,0,25,Never-married,Husband,Male,Adm-clerical,Self-emp-not-inc,United-States,White
25,213051,9,0,0,40,Divorced,Not-in-family,Male,Other-service,Private,Cuba,White
69,264136,12,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Local-gov,United-States,White
74,194454,6,7,0,46,Divorced,Own-child,Male,Transport-moving,Private,United-States,White
26,396419,13,2,0,40,Never-married,Own-child,Female,Adm-clerical,Private,United-States,White
40,212185,13,12,1863,40,Married-civ-spouse,Not-in-family,Female,Other-service,Private,United-States,White
39,203448,10,0,0,49,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
21,245937,9,0,0,40,Never-married,Not-in-family,Male,Exec-managerial,Private,United-States,White
66,206745,9,0,1736,40,Married-civ-spouse,Not-in-family,Male,Adm-clerical,Private,England,White
45,251006,9,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,Self-emp-not-inc,United-States,Black
50,130524,7,2,0,7,Married-civ-spouse,Husband,Male,Craft-repair,Self-emp-not-inc,United-States,White
39,176146,9,9,0,40,Married-civ-spouse,Unmarried,Female,Adm-clerical,Private,United-States,White
39,233708,11,8,0,40,Never-married,Unmarried,Female,Prof-specialty,Self-emp-not-inc,United-States,White
35,130379,9,0,0,20,Divorced,Husband,Male,Prof-specialty,Private,United-States,White
31,219120,10,2,0,40,Divorced,Own-child,Female,Exec-managerial,Private,United-States,Other
33,86683,9,0,0,40,Never-married,Not-in-family,Male,Craft-repair,Private,United-States,White
41,214455,13,0,0,40,Divorced,Husband,Male,Exec-managerial,Private,United-States,White
21,104611,14,0,0,50,Never-married,Husband,Male,Craft-repair,Private,Greece,Black
47,244616,9,3,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,United-States,White
45,189243,15,0,0,50,Married-spouse-absent,Not-in-family,Female,Adm-clerical,Private,United-States,White
38,193466,9,8,0,40,Married-civ-spouse,Husband,Male,Farming-fishing,Private,United-States,White
62,100942,9,0,0,40,Married-civ-spouse,Own-child,Male,Transport-moving,Private,United-States,White
65,70102,10,6,0,51,Widowed,Unmarried,Female,Adm-clerical,Self-emp-not-inc,United-States,Black
42,98592,9,3,0,53,Divorced,Husband,Male,Craft-repair,Private,United-States,White
28,192297,9,0,0,40,Never-married,Not-in-family,Female,Sales,Private,United-States,White
18,104171,9,4,0,40,Never-married,Wife,Female,Other-service,Private,United-States,White
40,103897,10,1,0,40,Divorced,Not-in-family,Female,Other-service,Private,United-States,White
31,48512,9,0,0,40,Divorced,Husband,Male,Sales,Private,United-States,White
18,13769,14,0,0,40,Never-married,Not-in-family,Male,Transport-moving,Private,United-States,White
40,67170,13,7541,0,29,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
37,151749,13,2,0,40,Never-married,Husband,Male,Protective-serv,Private,United-States,White
38,402078,9,2,0,11,Divorced,Husband,Male,Craft-repair,Private,United-States,White
22,120858,9,8,0,40,Never-married,Not-in-family,Female,Adm-clerical,Private,United-States,White
37,267573,8,2316,0,40,Separated,Husband,Male,Handlers-cleaners,Private,United-States,Asian-Pac-Islander
36,63023,13,0,0,49,Separated,Not-in-family,Male,Prof-specialty,Self-emp-not-inc,United-States,White
27,233041,9,14891,0,40,Married-civ-spouse,Unmarried,Male,Machine-op-inspct,Local-gov,United-States,White
38,184606,9,6,0,31,Married-civ-spouse,Own-child,Female,Exec-managerial,Private,United-States,White
27,95961,9,0,0,18,Married-civ-spouse,Husband,Male,Craft-repair,Local-gov,United-States,White
36,187088,7,0,0,50,Never-married,Not-in-family,Male,Craft-repair,Private,Philippines,Asian-Pac-Islander
24,320047,13,0,0,13,Never-married,Husband,Male,Transport-moving,Local-gov,United-States,Black
40,124485,10,7,0,40,Married-civ-spouse,Not-in-family,Male,Sales,Private,United-States,White
58,116378,9,3,0,40,Separated,Other-relative,Male,Other-service,Private,United-States,Black
72,143369,11,0,0,40,Never-married,Not-in-family,Male,Transport-moving,Federal-gov,United-States,White
26,113984,10,0,0,20,Married-civ-spouse,Not-in-family,Male,Sales,Private,United-States,White
29,97616,11,2,0,12,Married-civ-spouse,Not-in-family,Male,Other-service,Private,United-States,Black
39,185017,10,9,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Private,Mexico,White
26,86703,9,0,0,40,Never-married,Not-in-family,Female,Adm-clerical,Private,United-States,Black
29,261280,14,7762,0,46,Married-civ-spouse,Other-relative,Male,Farming-fishing,Private,Greece,White
36,60970,10,10809,0,40,Separated,Not-in-family,Male,Tech-support,Local-gov,United-States,Black
49,96056,13,0,0,62,Married-civ-spouse,Unmarried,Male,Prof-specialty,Local-gov,United-States,White
35,239200,14,13,0,72,Married-civ-spouse,Own-child,Male,Sales,Private,United-States,White
31,674962,9,4,0,40,Never-married,Not-in-family,Male,Sales,Local-gov,United-States,White
32,243247,13,4,0,40,Divorced,Not-in-family,Female,Exec-managerial,Private,United-States,Asian-Pac-Islander
24,164712,10,0,0,51,Never-married,Husband,Male,Sales,Private,United-States,White
45,88194,9,2,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,United-States,White
27,186653,9,3986,0,50,Never-married,Own-child,Male,Machine-op-inspct,Private,United-States,White
27,138840,9,0,0,37,Never-married,Own-child,Male,Transport-moving,Private,United-States,White
55,296173,5,5,0,45,Married-civ-spouse,Not-in-family,Male,Adm-clerical,Private,United-States,White
50,123106,9,8,0,58,Divorced,Husband,Male,Protective-serv,Self-emp-not-inc,United-States,White
37,197711,14,0,0,60,Never-married,Husband,Male,Other-service,Private,United-States,White
46,142535,13,5,0,40,Married-civ-spouse,Not-in-family,Male,Exec-managerial,Local-gov,United-States,White
53,227357,10,0,0,40,Married-civ-spouse,Own-child,Female,Adm-clerical,Private,United-States,White
34,185266,7,4,0,40,Married-civ-spouse,Not-in-family,Female,Adm-clerical,Private,United-States,White
58,46049,11,5,0,40,Married-civ-spouse,Not-in-family,Female,Prof-specialty,Private,United-States,White
48,201538,9,0,0,45,Never-married,Own-child,Female,Adm-clerical,Private,United-States,Black
22,181019,8,0,0,40,Never-married,Not-in-family,Female,Sales,State-gov,United-States,White
30,232660,11,15,0,40,Married-civ-spouse,Not-in-family,Male,Handlers-cleaners,Private,United-States,White
51,122811,8,0,0,36,Married-civ-spouse,Not-in-family,Male,Sales,Private,United-States,White
24,206534,9,0,0,52,Never-married,Not-in-family,Female,Exec-managerial,Private,United-States,White
32,177431,10,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Self-emp-not-inc,Cuba,White
20,98509,10,0,0,37,Never-married,Other-relative,Female,Machine-op-inspct,Private,United-States,Asian-Pac-Islander
47,229015,9,0,0,31,Married-civ-spouse,Not-in-family,Male,Craft-repair,Private,United-States,White
55,386211,9,3,0,57,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
49,158134,9,8,0,50,Married-civ-spouse,Not-in-family,Female,Sales,Private,United-States,White
17,177349,9,6,0,40,Never-married,Husband,Male,Other-service,Private,United-States,White
27,262675,10,0,0,59,Separated,Husband,Male,Exec-managerial,Private,United-States,Black
51,384856,8,0,0,40,Married-civ-spouse,Wife,Female,Craft-repair,Self-emp-not-inc,United-States,White
39,304462,9,6,0,40,Married-civ-spouse,Husband,Male,Other-service,Private,United-States,White
65,69430,13,0,0,38,Married-civ-spouse,Husband,Male,Machine-op-inspct,Self-emp-not-inc,United-States,Amer-Indian-Eskimo
19,265082,9,0,0,40,Never-married,Not-in-family,Male,Machine-op-inspct,Private,United-States,White
40,113546,9,0,0,8,Divorced,Husband,Male,Machine-op-inspct,Private,United-States,White
69,155005,9,7,0,28,Married-civ-spouse,Husband,Male,Sales,Private,United-States,White
55,543156,14,12,0,40,Married-civ-spouse,Not-in-family,Male,Exec-managerial,State-gov,United-States,Asian-Pac-Islander
29,75461,8,0,0,26,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,Asian-Pac-Islander
23,230249,10,0,0,40,Never-married,Husband,Male,Craft-repair,Private,Mexico,White
60,56755,13,4,0,37,Married-civ-spouse,Not-in-family,Male,Protective-serv,Self-emp-inc,United-States,White
90,52915,8,0,0,40,Divorced,Husband,Male,Machine-op-inspct,Private,United-States,White
32,282671,10,7,0,45,Never-married,Husband,Male,Prof-specialty,Private,United-States,White
48,184979,9,0,0,44,Married-civ-spouse,Not-in-family,Female,Prof-specialty,Private,United-States,White
23,241848,10,1,0,40,Never-married,Husband,Male,Tech-support,Private,United-States,Black
52,246578,14,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
48,41488,12,0,0,40,Divorced,Husband,Male,Prof-specialty,Private,Canada,White
58,242469,10,7,0,40,Divorced,Own-child,Male,Craft-repair,Self-emp-not-inc,United-States,White
34,179398,9,0,1743,48,Never-married,Not-in-family,Male,Exec-managerial,Private,United-States,White
36,165138,13,0,0,50,Married-civ-spouse,Husband,Male,Craft-repair,Self-emp-inc,United-States,White
22,305294,13,12,0,40,Never-married,Not-in-family,Male,Protective-serv,Private,United-States,White
30,194700,9,8,0,40,Married-civ-spouse,Not-in-family,Female,Adm-clerical,Private,United-States,Black
35,380112,10,7,1740,40,Never-married,Husband,Male,Machine-op-inspct,Private,United-States,Black
35,242343,9,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,Private,United-States,White
27,97822,9,4,0,40,Married-civ-spouse,Other-relative,Male,Protective-serv,Private,United-States,White
47,184890,14,3,0,49,Married-civ-spouse,Husband,Male,Transport-moving,State-gov,United-States,White
49,240684,10,5,0,35,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
26,340251,13,8,0,40,Married-civ-spouse,Own-child,Female,Other-service,Local-gov,United-States,White
44,299494,13,12,0,59,Married-civ-spouse,Husband,Male,Farming-fishing,Private,United-States,White
37,107503,10,0,0,40,Never-married,Own-child,Female,Adm-clerical,Private,United-States,Black
34,198817,10,14690,0,40,Never-married,Unmarried,Female,Exec-managerial,Self-emp-inc,United-States,White
30,214371,11,7214,0,40,Married-civ-spouse,Unmarried,Male,Handlers-cleaners,Private,United-States,White
42,227413,9,1,1591,40,Married-civ-spouse,Not-in-family,Male,Machine-op-inspct,Private,United-States,White
45,359484,13,5,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
25,365305,14,7,0,40,Separated,Husband,Male,Other-service,Local-gov,England,White
34,59498,15,0,0,40,Never-married,Husband,Male,Other-service,Private,United-States,White
42,151421,10,16,0,40,Married-civ-spouse,Husband,Male,Sales,Self-emp-inc,United-States,White
44,27689,10,0,0,27,Divorced,Husband,Male,Craft-repair,Private,United-States,White
28,201025,9,1,0,40,Never-married,Own-child,Male,Protective-serv,Private,United-States,White
42,205657,15,3,0,58,Divorced,Own-child,Female,Sales,Private,United-States,White
45,378718,15,8587,0,40,Married-civ-spouse,Unmarried,Female,Sales,Private,United-States,White
58,163399,14,0,0,49,Married-civ-spouse,Unmarried,Female,Sales,Private,United-States,White
34,205659,10,2,0,40,Never-married,Husband,Male,Farming-fishing,Private,United-States,White
46,686186,10,2,0,40,Separated,Not-in-family,Male,Craft-repair,Private,United-States,White
56,52658,13,0,0,40,Married-civ-spouse,Own-child,Male,Exec-managerial,Federal-gov,United-States,White
43,190295,15,0,1978,53,Married-civ-spouse,Husband,Male,Exec-managerial,Self-emp-not-inc,United-States,Black
35,266926,13,7,0,40,Married-civ-spouse,Not-in-family,Male,Other-service,Private,United-States,White
40,325892,13,3,0,20,Married-civ-spouse,Not-in-family,Male,Transport-moving,Private,United-States,White
29,226959,13,5,0,40,Never-married,Husband,Male,Exec-managerial,Private,United-States,Other
48,49651,9,0,0,34,Married-civ-spouse,Unmarried,Female,Sales,Private,United-States,White
45,159856,10,0,0,46,Divorced,Husband,Male,Sales,Private,Poland,White
23,136318,9,0,0,20,Married-civ-spouse,Not-in-family,Female,Exec-managerial,Private,United-States,White
37,107044,9,0,1875,30,Divorced,Husband,Male,Craft-repair,Self-emp-inc,United-States,Black
41,107630,13,0,0,76,Never-married,Other-relative,Male,Craft-repair,Self-emp-not-inc,United-States,Black
41,100784,9,0,0,40,Married-civ-spouse,Not-in-family,Male,Tech-support,Private,United-States,White
18,193053,9,0,0,44,Never-married,Husband,Male,Handlers-cleaners,Local-gov,United-States,White
45,282276,15,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Local-gov,United-States,White
31,187217,3,2,0,40,Married-civ-spouse,Unmarried,Female,Adm-clerical,Local-gov,United-States,Asian-Pac-Islander
21,160692,9,16,0,40,Never-married,Own-child,Female,Prof-specialty,Private,United-States,Black
53,70623,10,4,0,40,Divorced,Husband,Male,Transport-moving,Private,United-States,White
26,230073,13,0,0,40,Never-married,Husband,Male,Craft-repair,Private,United-States,White
28,187122,9,0,0,40,Never-married,Not-in-family,Female,Adm-clerical,Private,United-States,White
52,237731,10,16,0,40,Never-married,Own-child,Female,Sales,State-gov,United-States,Asian-Pac-Islander
66,261826,9,0,0,40,Married-civ-spouse,Not-in-family,Male,Protective-serv,Private,United-States,White
63,399755,9,0,0,52,Married-civ-spouse,Not-in-family,Female,Other-service,Federal-gov,United-States,White
60,144071,14,0,0,60,Widowed,Other-relative,Female,Sales,Self-emp-not-inc,United-States,White
34,112479,10,13,0,44,Married-civ-spouse,Husband,Male,Exec-managerial,Private,Puerto-Rico,White
22,38220,14,6,0,46,Never-married,Husband,Male,Adm-clerical,Private,United-States,Asian-Pac-Islander
30,193229,13,0,0,20,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,United-States,White
46,98854,10,0,0,45,Married-civ-spouse,Husband,Male,Farming-fishing,Private,United-States,White
17,147874,10,1,0,40,Never-married,Own-child,Male,Craft-repair,State-gov,United-States,White
40,347464,7,0,0,40,Never-married,Wife,Female,Adm-clerical,Private,United-States,Amer-Indian-Eskimo
38,153240,13,7,0,51,Divorced,Not-in-family,Female,Other-service,Private,United-States,White
50,135110,9,0,0,50,Divorced,Other-relative,Female,Adm-clerical,Private,United-States,White
67,193047,5,11,0,50,Married-civ-spouse,Husband,Male,Transport-moving,Private,Italy,White
24,30691,13,8109,0,49,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
42,325870,9,0,0,40,Married-civ-spouse,Not-in-family,Female,Other-service,Private,Germany,White
45,202517,8,2,0,61,Married-civ-spouse,Husband,Male,Tech-support,Private,United-States,White
19,22082,10,0,0,40,Never-married,Husband,Male,Other-service,State-gov,United-States,Black
35,174606,11,0,0,40,Divorced,Own-child,Male,Craft-repair,Private,United-States,White
58,188151,13,14189,0,49,Married-civ-spouse,Husband,Male,Handlers-cleaners,Private,Mexico,White
44,185994,9,1,0,36,Never-married,Husband,Male,Handlers-cleaners,Private,United-States,White
55,167889,14,3,1736,40,Married-civ-spouse,Unmarried,Male,Exec-managerial,Local-gov,United-States,White
60,70756,10,9,0,40,Never-married,Husband,Male,Craft-repair,Self-emp-not-inc,United-States,White
19,156923,9,2,0,40,Never-married,Own-child,Male,Handlers-cleaners,Self-emp-not-inc,United-States,White
55,150360,14,7286,0,50,Married-civ-spouse,Husband,Male,Sales,Private,United-States,White
36,137993,13,0,0,26,Divorced,Husband,Male,Sales,State-gov,United-States,White
42,175402,13,0,0,51,Married-civ-spouse,Husband,Male,Other-service,Local-gov,United-States,White
20,101465,15,0,0,40,Married-spouse-absent,Wife,Female,Prof-specialty,Private,United-States,White
41,184404,13,10,0,40,Divorced,Husband,Male,Prof-specialty,Private,United-States,White
57,119703,9,0,0,57,Married-civ-spouse,Not-in-family,Male,Farming-fishing,Private,United-States,Other
37,97241,14,8,0,45,Married-civ-spouse,Husband,Male,Prof-specialty,Private,United-States,White
28,83747,7,11,0,11,Married-civ-spouse,Unmarried,Female,Other-service,Private,United-States,White
21,185751,13,13,0,40,Never-married,Not-in-family,Male,Adm-clerical,Private,United-States,White
27,461876,10,0,0,40,Married-civ-spouse,Own-child,Male,Craft-repair,Private,United-States,White
65,463940,13,33229,0,27,Married-civ-spouse,Husband,Male,Machine-op-inspct,Self-emp-not-inc,United-States,White
37,161839,9,0,0,40,Married-civ-spouse,Husband,Male,Other-service,Self-emp-inc,United-States,Black
58,264777,7,0,0,35,Married-civ-spouse,Own-child,Female,Adm-clerical,Private,United-States,White
48,199196,11,3,0,40,Divorced,Own-child,Female,Other-service,Private,United-States,White
42,344201,11,0,0,40,Divorced,Wife,Female,Sales,Private,United-States,White
22,152837,13,0,0,40,Never-married,Unmarried,Male,Craft-repair,Private,United-States,White
34,205799,13,0,0,50,Divorced,Husband,Male,Sales,Private,United-States,Other
51,100206,3,0,0,36,Separated,Not-in-family,Female,Adm-clerical,Local-gov,Mexico,White
58,110772,13,3317,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Without-pay,United-States,White
54,111787,7,0,0,40,Never-married,Husband,Male,Exec-managerial,State-gov,United-States,White
39,156352,11,0,0,40,Never-married,Husband,Male,Prof-specialty,Private,United-States,White
68,91865,13,1976,0,23,Married-civ-spouse,Other-relative,Male,Machine-op-inspct,Self-emp-not-inc,United-States,White
42,201454,9,0,0,40,Married-civ-spouse,Husband,Male,Other-service,Private,Philippines,Asian-Pac-Islander
17,87248,13,7,0,46,Never-married,Husband,Male,Handlers-cleaners,Local-gov,United-States,White
24,166946,13,0,0,40,Never-married,Husband,Male,Craft-repair,Private,United-States,White
41,209993,9,0,0,36,Never-married,Unmarried,Male,Sales,Private,United-States,White
24,154432,9,13,0,40,Never-married,Not-in-family,Female,Sales,Self-emp-not-inc,Dominican-Republic,Black
23,169593,9,5,0,51,Never-married,Not-in-family,Female,Prof-specialty,Private,United-States,White
43,351101,9,0,0,40,Never-married,Not-in-family,Female,Sales,State-gov,United-States,White
24,480732,9,3,0,40,Never-married,Own-child,Female,Exec-managerial,Private,United-States,White
17,282647,9,0,0,49,Married-civ-spouse,Own-child,Female,Other-service,Private,United-States,Asian-Pac-Islander
50,187872,14,0,0,40,Divorced,Not-in-family,Female,Other-service,Private,United-States,White
57,388837,10,0,0,40,Married-civ-spouse,Own-child,Female,Other-service,Local-gov,United-States,White
40,191067,11,4,0,40,Married-civ-spouse,Not-in-family,Female,Other-service,Private,China,White
20,150880,9,0,0,28,Never-married,Own-child,Male,Sales,Private,United-States,White
23,247714,3,0,0,40,Never-married,Own-child,Female,Other-service,Private,United-States,White
46,24124,15,2871,0,57,Married-civ-spouse,Own-child,Male,Craft-repair,Local-gov,United-States,White
35,83511,10,0,0,40,Divorced,Husband,Male,Craft-repair,Self-emp-inc,United-States,White
57,315739,9,0,0,60,Divorced,Not-in-family,Female,Other-service,Local-gov,Dominican-Republic,White
49,94710,10,0,0,40,Married-civ-spouse,Other-relative,Male,Other-service,Self-emp-not-inc,United-States,White
24,171518,12,0,0,36,Never-married,Husband,Male,Machine-op-inspct,Private,Mexico,White
50,278586,13,0,0,50,Married-civ-spouse,Not-in-family,Female,Adm-clerical,State-gov,United-States,White
37,240798,10,6,0,40,Divorced,Husband,Male,Transport-moving,Private,United-States,White
24,109663,9,0,0,13,Never-married,Husband,Male,Handlers-cleaners,Private,Philippines,Asian-Pac-Islander
20,200416,9,0,1974,40,Never-married,Husband,Male,Craft-repair,Private,United-States,White
50,167295,13,6,0,56,Married-civ-spouse,Unmarried,Female,Exec-managerial,Self-emp-inc,United-States,White
33,175374,15,0,0,40,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
25,212246,10,0,0,40,Married-civ-spouse,Own-child,Female,Adm-clerical,Private,United-States,White
33,110301,9,4,0,20,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
23,232358,9,1607,0,40,Married-civ-spouse,Own-child,Male,Craft-repair,Private,United-States,White
36,436708,13,2,0,58,Separated,Husband,Male,Transport-moving,Private,United-States,White
24,318229,9,0,0,40,Married-spouse-absent,Not-in-family,Male,Craft-repair,Private,United-States,White
35,195966,15,5,0,40,Married-civ-spouse,Not-in-family,Male,Handlers-cleaners,Private,United-States,White
34,136095,10,7,0,40,Never-married,Unmarried,Male,Machine-op-inspct,Private,United-States,White
48,215499,12,27668,0,40,Never-married,Husband,Male,Craft-repair,Private,United-States,White
27,209709,10,15,0,34,Divorced,Other-relative,Female,Sales,Self-emp-not-inc,United-States,White
44,172970,9,0,0,54,Married-civ-spouse,Wife,Female,Machine-op-inspct,Private,United-States,White
30,66802,9,0,1989,52,Divorced,Unmarried,Female,Other-service,Private,United-States,White
56,89785,10,1,1894,40,Married-civ-spouse,Own-child,Female,Priv-house-serv,Self-emp-inc,United-States,Amer-Indian-Eskimo
24,161432,4,0,0,40,Divorced,Not-in-family,Male,Tech-support,Private,United-States,White
43,147288,10,0,0,40,Never-married,Husband,Male,Craft-repair,Private,Vietnam,White
37,428437,14,8,0,58,Divorced,Husband,Male,Protective-serv,Local-gov,United-States,White
39,143136,14,1,0,40,Separated,Husband,Male,Prof-specialty,Self-emp-not-inc,Cuba,White
65,281758,12,2,0,49,Married-civ-spouse,Own-child,Male,Craft-repair,Federal-gov,Mexico,White
39,208520,9,1,0,62,Married-civ-spouse,Own-child,Female,Adm-clerical,Private,United-States,White
34,329842,13,10,0,50,Married-civ-spouse,Unmarried,Female,Other-service,Private,United-States,White
26,414820,9,0,0,46,Never-married,Husband,Male,Farming-fishing,Private,United-States,White
19,273207,10,0,0,40,Never-married,Husband,Male,Prof-specialty,Private,United-States,White
34,362307,9,4,0,35,Married-civ-spouse,Not-in-family,Male,Sales,Private,United-States,White
19,115060,9,0,0,40,Never-married,Own-child,Male,Handlers-cleaners,Private,United-States,White
37,202090,9,0,0,73,Married-civ-spouse,Own-child,Female,Sales,Self-emp-inc,United-States,White
33,113412,10,0,0,20,Never-married,Husband,Male,Exec-managerial,Private,Thailand,Black
36,209275,13,0,0,11,Divorced,Not-in-family,Female,Adm-clerical,Self-emp-not-inc,United-States,White
31,276763,4,4,0,40,Never-married,Husband,Male,Exec-managerial,Private,United-States,Black
17,656927,9,0,0,28,Never-married,Not-in-family,Female,Craft-repair,Private,Mexico,White
41,242440,9,3488,0,37,Divorced,Husband,Male,Sales,Private,England,White
22,41648,9,10,0,50,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
47,144771,9,7,0,51,Married-civ-spouse,Husband,Male,Sales,Private,Dominican-Republic,White
49,87273,9,2623,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,Private,United-States,White
58,123792,9,7,0,51,Married-civ-spouse,Unmarried,Female,Adm-clerical,Private,United-States,White
46,265828,10,9,0,35,Married-civ-spouse,Not-in-family,Male,Other-service,Local-gov,United-States,White
66,102761,13,15,0,40,Widowed,Not-in-family,Female,Prof-specialty,Self-emp-not-inc,United-States,White
27,111391,10,0,0,40,Married-spouse-absent,Unmarried,Female,Exec-managerial,Private,United-States,White
53,154644,13,0,0,46,Married-civ-spouse,Husband,Male,Prof-specialty,Self-emp-not-inc,United-States,White
21,142291,9,0,0,36,Never-married,Not-in-family,Female,Sales,Private,United-States,White
36,368362,14,0,0,56,Never-married,Husband,Male,Craft-repair,Private,United-States,White
43,160973,10,14620,0,56,Divorced,Not-in-family,Female,Other-service,Private,United-States,Black
30,131378,9,0,0,9,Married-civ-spouse,Husband,Male,Exec-managerial,State-gov,United-States,White
41,190306,13,0,0,36,Married-civ-spouse,Husband,Male,Other-service,Private,United-States,White
52,271816,10,12,0,40,Married-civ-spouse,Husband,Male,Protective-serv,Private,Dominican-Republic,White
35,47297,8,0,0,35,Married-civ-spouse,Not-in-family,Male,Adm-clerical,Self-emp-not-inc,United-States,White
40,367620,13,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Self-emp-not-inc,United-States,Asian-Pac-Islander
56,151578,13,10,0,40,Married-civ-spouse,Other-relative,Female,Sales,Private,United-States,White
44,165551,7,0,0,45,Married-civ-spouse,Wife,Female,Adm-clerical,Private,United-States,White
29,296451,10,0,0,31,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
80,226823,12,3,0,98,Widowed,Husband,Male,Craft-repair,Self-emp-not-inc,United-States,White
40,282539,10,3,0,76,Married-civ-spouse,Not-in-family,Female,Adm-clerical,Private,United-States,Black
51,191391,9,0,0,40,Married-civ-spouse,Own-child,Male,Prof-specialty,Private,United-States,White
38,199584,10,4,0,40,Never-married,Not-in-family,Female,Prof-specialty,Federal-gov,United-States,White
40,337603,9,0,0,40,Divorced,Wife,Female,Machine-op-inspct,Private,United-States,White
75,241726,7,1,0,40,Married-civ-spouse,Husband,Male,Sales,State-gov,United-States,White
31,236683,13,9,0,46,Married-civ-spouse,Husband,Male,Sales,Private,United-States,White
48,200743,14,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
25,52315,10,0,0,51,Married-civ-spouse,Husband,Male,Adm-clerical,Private,Philippines,Asian-Pac-Islander
56,213215,13,1138,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Self-emp-not-inc,United-States,Black
28,157847,13,0,0,9,Married-civ-spouse,Not-in-family,Male,Exec-managerial,Private,United-States,White
43,200288,14,6,0,40,Divorced,Not-in-family,Male,Machine-op-inspct,Private,United-States,White
44,257121,15,10,0,29,Never-married,Not-in-family,Female,Sales,Private,United-States,White
37,171890,9,0,0,44,Separated,Not-in-family,Male,Prof-specialty,Self-emp-not-inc,United-States,Amer-Indian-Eskimo
35,97943,14,0,0,20,Married-spouse-absent,Not-in-family,Female,Exec-managerial,Private,Dominican-Republic,White
53,78026,10,0,0,40,Never-married,Husband,Male,Farming-fishing,Private,United-States,White
44,222206,9,1702,0,36,Married-civ-spouse,Husband,Male,Prof-specialty,Local-gov,United-States,White
61,39771,13,2256,0,40,Married-civ-spouse,Not-in-family,Female,Prof-specialty,Private,United-States,White
33,100641,12,0,0,56,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
41,131098,10,2,0,72,Never-married,Own-child,Female,Prof-specialty,Private,England,White
29,540460,11,0,0,22,Never-married,Not-in-family,Male,Transport-moving,Private,United-States,White
90,217265,14,9869,0,77,Married-civ-spouse,Not-in-family,Male,Tech-support,Private,Mexico,White
26,162852,3,0,0,28,Never-married,Husband,Male,Sales,Private,United-States,White
28,166257,10,0,0,40,Married-civ-spouse,Not-in-family,Male,Tech-support,Private,United-States,White
25,135307,9,2,0,40,Never-married,Husband,Male,Machine-op-inspct,Local-gov,United-States,Black
76,98756,13,4,0,50,Married-civ-spouse,Husband,Male,Sales,Private,United-States,White
50,157621,14,4794,0,57,Married-civ-spouse,Unmarried,Female,Adm-clerical,Private,United-States,White
26,115314,15,9,0,51,Married-civ-spouse,Husband,Male,Farming-fishing,Private,United-States,White
57,233857,14,764,0,44,Divorced,Not-in-family,Male,Exec-managerial,Private,Mexico,White
22,188805,9,0,0,40,Never-married,Not-in-family,Male,Craft-repair,Private,United-States,White
